tag_key,tag_id,tag_problem_num,tag_display_lang,tag_name,tag_name_short
discrete_sqrt,147,6,ko,이산 제곱근,이산 제곱근
cartesian_tree,206,6,ko,데카르트 트리,데카르트 트리
pick,187,5,ko,픽의 정리,픽
rope,159,5,ko,로프,로프
bayes,114,5,ko,베이즈 정리,베이즈 정리
suffix_tree,182,5,ko,접미사 트리,접미사 트리
geometry_hyper,132,5,ko,4차원 이상의 기하학,4차원 이상의 기하학
green,183,4,ko,그린 정리,그린
delaunay,21,4,ko,델로네 삼각분할,델로네 삼각분할
hirschberg,163,4,ko,히르쉬버그,히르쉬버그
directed_mst,23,4,ko,유향 최소 신장 트리,유향 최소 신장 트리
stoer_wagner,75,4,ko,스토어–바그너,스토어–바그너
chordal_graph,201,4,ko,현 그래프,현 그래프
degree_sequence,200,4,ko,차수열,차수열
majority_vote,160,3,ko,보이어–무어 다수결 투표,보이어–무어 다수결 투표
gradient_descent,208,3,ko,경사 하강법,경사 하강법
lte,212,2,ko,지수승강 보조정리,지수승강
hackenbush,205,2,ko,하켄부시 게임,하켄부시 게임
differential_cryptanalysis,185,2,ko,차분 공격,차분 공격
geometric_boolean_operations,202,2,ko,도형에서의 불 연산,도형에서의 불 연산
a_star,186,1,ko,a*,a*
rb_tree,94,1,ko,레드-블랙 트리,레드-블랙 트리
birthday,203,1,ko,생일 문제,생일
functional_graph,211,1,ko,함수형 그래프,함수형 그래프
discrete_kth_root,149,1,ko,이산 k제곱근,이산 k제곱근
multipoint_evaluation,196,1,ko,다중 대입값 계산,다중 계산
polynomial_interpolation,209,1,ko,다항식 보간법,다항식 보간법
flood_fill,210,0,ko,플러드 필,플러드 필
